token_num,term_rank,term_str,n,num,stop,p_stem,pos_max,zipf_k,p,h,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,h2,x_factor
599,2979,1987,32,1,0,1987,CD,95328,3.554844586638228e-05,0.0005254008393356795,21,0.2798406965940431,0.42642391861949414,8.954902291009379,0.2798406965940431,0.8395220897821293,4.265319531114783,34.11975373229336
12311,2875,define,34,0,0,defin,VB,97750,3.777022373303117e-05,0.0005549349007118075,21,0.2798406965940431,0.4530754135332125,9.514583684197465,0.2798406965940431,1.1193627863761724,4.219528282299547,33.603512893462174
12146,2494,decade,41,0,0,decad,NN,102254,4.5546446266302294e-05,0.0006568846022330931,24,0.2218487496163564,0.3789916139279422,9.095798734270613,0.2218487496163564,1.5529412473144948,4.286426468986532,33.526898127281626
41847,2389,updates,43,0,0,updat,NNS,102727,4.7768224132951186e-05,0.0006856454675147319,23,0.2403321553103695,0.4493166381889516,10.33428267834589,0.2403321553103695,1.2016607765518474,4.264074790724491,33.168660717581524
3277,2799,alerts,35,0,0,alert,NNS,97965,3.888111266635562e-05,0.0005696305004757158,20,0.3010299956639812,0.5268024924119671,10.536049848239342,0.6020599913279624,1.505149978319906,4.147439360470672,32.91829874076051
43950,2403,word,43,0,0,word,NN,103329,4.7768224132951186e-05,0.0006856454675147319,22,0.2596373105057561,0.5074729250794323,11.164404351747512,0.5192746210115122,1.5578238630345367,4.22220806840402,32.86766570420167
15177,2500,especially,41,0,0,especi,RB,102500,4.5546446266302294e-05,0.0006568846022330931,21,0.2798406965940431,0.5463556457312269,11.473468560355766,0.5596813931880862,1.1193627863761724,4.198777004512548,32.851424472631535
41689,2553,universal,40,0,0,univers,JJ,102120,4.443555733297785e-05,0.0006424459948521356,21,0.2798406965940431,0.5330298982743676,11.193627863761723,0.5596813931880862,1.1193627863761724,4.184183719779189,32.825023447892036
35711,4185,seeing,19,0,0,see,VBG,79515,2.1106889733164478e-05,0.0003278306594006527,16,0.3979400086720376,0.4725537602980446,7.560860164768715,0.3979400086720376,0.7958800173440752,3.9321380397593746,32.79112926657299
12422,2148,demands,49,0,0,demand,NNS,105252,5.443355773289786e-05,0.0007710591914441333,23,0.2403321553103695,0.5120119830525263,11.776275610208106,0.480664310620739,1.441992931862217,4.264935038249543,32.721828917708706
35983,1343,series,87,0,0,seri,NN,116841,9.664733719922682e-05,0.0012889768853411553,30,0.12493873660829993,0.3623223361640698,10.869670084922095,0.24987747321659987,1.1244486294746994,4.53570883574254,32.66917402993038
